TrackID,Track Name,Artists,Lyrics,Tokens
54640449,Jingle Bell Rock,Bobby Helms,"Jingle bell, jingle bell, jingle bell rock Jingle bells swing and jingle bells ring Snowing and blowing up bushels of fun Now the jingle hop has begun  Jingle bell, jingle bell, jingle bell rock Jingle bells chime in jingle bell time Dancing and prancing in Jingle Bell Square In the frosty air  What a bright time, it's the right time To rock the night away Jingle bell time is a swell time To go riding in a one-horse sleigh  Giddy-up jingle horse, pick up your feet Jingle around the clock Mix and a-mingle in the jingling beat That's the jingle bell rock  Jingle bell, jingle bell, jingle bell rock Jingle bells chime in jingle bell time Dancing and prancing in Jingle Bell Square In the frosty air  What a bright time, it's the right time To rock the night away Jingle bell time is a swell time To go riding in a one-horse sleigh  Giddy-up jingle horse, pick up your feet Jingle around the clock Mix and a-mingle in the jingling beat That's the jingle bell That's the jingle bell That's the jingle bell rock","['rock', 'swing', 'ring', 'snowing', 'blowing', 'bushel', 'fun', 'hop', 'ha', 'begun', 'rock', 'chime', 'time', 'dancing', 'prancing', 'square', 'frosty', 'air', 'bright', 'time', 'right', 'time', 'rock', 'night', 'away', 'time', 'swell', 'time', 'riding', 'onehorse', 'sleigh', 'giddyup', 'horse', 'pick', 'foot', 'around', 'clock', 'mix', 'amingle', 'jingling', 'beat', 'thats', 'rock', 'rock', 'chime', 'time', 'dancing', 'prancing', 'square', 'frosty', 'air', 'bright', 'time', 'right', 'time', 'rock', 'night', 'away', 'time', 'swell', 'time', 'riding', 'onehorse', 'sleigh', 'giddyup', 'horse', 'pick', 'foot', 'around', 'clock', 'mix', 'amingle', 'jingling', 'beat', 'thats', 'thats', 'thats', 'rock']"
568180108,Fancy Like,Walker Hayes,"Ayy My girl is bangin' She's so low maintenance Don't need no champagne poppin' entertainment Take her to Wendy's Can't keep her off me She wanna dip me like them fries in her Frosty  But every now and then when I get paid I gotta spoil my baby with an upgrade (ayy) Ayy, ayy, ayy  Yeah, we fancy like Applebee's on a date night Got that Bourbon Street steak with the Oreo shake Get some whipped cream on the top too Two straws, one check, girl, I got you Bougie like Natty in the styrofoam Squeak-squeakin' in the truck bed all the way home Some Alabama-jamma, she my Dixieland delight Ayy, that's how we do, how we do, fancy like, oh  Fancy like, oh Fancy like, oh Fancy like, oh  Uh, don't need no Tesla (don't need no Tesla) to impress her (to impress her) My girl is happy rollin' on a Vespa (there she go) Don't need no mansion (ooh) to get romancin' (woo) She's super fine, double wide, slow dancin' (slow dancin')  But every now and then when I get paid I gotta spoil my baby with an upgrade Ayy, ayy, ayy  Yeah, we fancy like Applebee's on a date night (that's right) Got that Bourbon Street steak with the Oreo shake (ayy) Get some whipped cream on the top too (gotta add that whipped cream) Two straws, one check, girl, I got you (girl, I got you) Bougie like Natty in the styrofoam (styrofoam) Squeak-squeakin' in the truck bed all the way home (all the way home) Some Alabama-jamma, she my Dixieland delight Ayy, that's how we do, how we do, fancy like  My new, clean blue jeans without the holes in 'em Country kisses on my lips without Skoal in 'em Yeah, she probably gon' be keeping some Victoria's Secrets Maybe a little Maybelline but she don't need it In the kitchen light radio slows down Boxed wine and her up-do goes down  Ayy Yeah, we fancy like Applebee's on a date night (that's right) Got that Bourbon Street steak with the Oreo shake (ayy) Get some whipped cream on the top too (gotta add that whipped cream) Two straws, one check, girl, I got you Bougie like Natty in the styrofoam (styrofoam) Squeak-squeakin' in the truck bed all the way home (all the way home) Some Alabama-jamma, she my Dixieland delight Ayy, that's how we do, how we do, fancy like","['ayy', 'girl', 'bangin', 'shes', 'low', 'maintenance', 'need', 'champagne', 'poppin', 'entertainment', 'take', 'wendys', 'keep', 'dip', 'like', 'fry', 'frosty', 'every', 'paid', 'ta', 'spoil', 'baby', 'upgrade', 'ayy', 'ayy', 'ayy', 'ayy', 'yeah', 'fancy', 'like', 'applebees', 'date', 'night', 'bourbon', 'street', 'steak', 'oreo', 'shake', 'whipped', 'cream', 'top', 'two', 'straw', 'one', 'check', 'girl', 'bougie', 'like', 'natty', 'styrofoam', 'squeaksqueakin', 'truck', 'bed', 'way', 'home', 'alabamajamma', 'dixieland', 'delight', 'ayy', 'thats', 'fancy', 'like', 'fancy', 'like', 'fancy', 'like', 'fancy', 'like', 'uh', 'need', 'tesla', 'need', 'tesla', 'impress', 'impress', 'girl', 'happy', 'rollin', 'vespa', 'need', 'mansion', 'romancin', 'woo', 'shes', 'super', 'fine', 'double', 'wide', 'slow', 'dancin', 'slow', 'dancin', 'every', 'paid', 'ta', 'spoil', 'baby', 'upgrade', 'ayy', 'ayy', 'ayy', 'yeah', 'fancy', 'like', 'applebees', 'date', 'night', 'thats', 'right', 'bourbon', 'street', 'steak', 'oreo', 'shake', 'ayy', 'whipped', 'cream', 'top', 'ta', 'add', 'whipped', 'cream', 'two', 'straw', 'one', 'check', 'girl', 'girl', 'bougie', 'like', 'natty', 'styrofoam', 'styrofoam', 'squeaksqueakin', 'truck', 'bed', 'way', 'home', 'way', 'home', 'alabamajamma', 'dixieland', 'delight', 'ayy', 'thats', 'fancy', 'like', 'new', 'clean', 'blue', 'jean', 'without', 'hole', 'em', 'country', 'kiss', 'lip', 'without', 'skoal', 'em', 'yeah', 'probably', 'keeping', 'victorias', 'secrets', 'maybe', 'little', 'maybelline', 'need', 'kitchen', 'light', 'radio', 'slows', 'boxed', 'wine', 'updo', 'ayy', 'yeah', 'fancy', 'like', 'applebees', 'date', 'night', 'thats', 'right', 'bourbon', 'street', 'steak', 'oreo', 'shake', 'ayy', 'whipped', 'cream', 'top', 'ta', 'add', 'whipped', 'cream', 'two', 'straw', 'one', 'check', 'girl', 'bougie', 'like', 'natty', 'styrofoam', 'styrofoam', 'squeaksqueakin', 'truck', 'bed', 'way', 'home', 'way', 'home', 'alabamajamma', 'dixieland', 'delight', 'ayy', 'thats', 'fancy', 'like']"
52815945,Enchanted,Taylor Swift,"There I was again tonight Forcing laughter, faking smiles Same old tired, lonely place Walls of insincerity Shifting eyes and vacancy Vanished when I saw your face All I can say is it was enchanting to meet you  Your eyes whispered, ""Have we met?"" Across the room, your silhouette Starts to make its way to me The playful conversation starts Counter all your quick remarks Like passing notes in secrecy  And it was enchanting to meet you All I can say is I was enchanted to meet you  This night is sparkling, don't you let it go I'm wonderstruck, blushing all the way home I'll spend forever wondering if you knew I was enchanted to meet you  The lingering question kept me up 2 a.m., who do you love? I wonder 'til I'm wide awake And now I'm pacing back and forth Wishing you were at my door I'd open up and you would say Hey, it was enchanting to meet you All I know is I was enchanted to meet you  This night is sparkling, don't you let it go I'm wonderstruck, blushing all the way home I'll spend forever wondering if you knew... This night is flawless, don't you let it go I'm wonderstruck, dancing around all alone I'll spend forever wondering if you knew I was enchanted to meet you  This is me praying that This was the very first page Not where the story line ends My thoughts will echo your name Until I see you again  These are the words I held back As I was leaving too soon I was enchanted to meet you  Please don't be in love with someone else Please don't have somebody waiting on you Please don't be in love with someone else Please don't have somebody waiting on you  This night is sparkling, don't you let it go I'm wonderstruck, blushing all the way home I'll spend forever wondering if you knew This night is flawless, don't you let it go I'm wonderstruck, dancing around all alone I'll spend forever wondering if you knew I was enchanted to meet you  Please don't be in love with someone else Please don't have somebody waiting on you","['tonight', 'forcing', 'laughter', 'faking', 'smile', 'old', 'tired', 'lonely', 'place', 'walls', 'insincerity', 'shifting', 'eye', 'vacancy', 'vanished', 'saw', 'face', 'enchanting', 'meet', 'eye', 'whispered', 'met', 'across', 'room', 'silhouette', 'starts', 'make', 'way', 'playful', 'conversation', 'start', 'counter', 'quick', 'remark', 'like', 'passing', 'note', 'secrecy', 'enchanting', 'meet', 'enchanted', 'meet', 'night', 'sparkling', 'let', 'wonderstruck', 'blushing', 'way', 'home', 'spend', 'forever', 'wondering', 'knew', 'enchanted', 'meet', 'lingering', 'question', 'kept', 'love', 'wonder', 'til', 'wide', 'awake', 'pacing', 'back', 'forth', 'wishing', 'door', 'open', 'hey', 'enchanting', 'meet', 'know', 'enchanted', 'meet', 'night', 'sparkling', 'let', 'wonderstruck', 'blushing', 'way', 'home', 'spend', 'forever', 'wondering', 'knew', 'night', 'flawless', 'let', 'wonderstruck', 'dancing', 'around', 'alone', 'spend', 'forever', 'wondering', 'knew', 'enchanted', 'meet', 'praying', 'first', 'page', 'story', 'line', 'end', 'thought', 'echo', 'name', 'word', 'held', 'back', 'leaving', 'soon', 'enchanted', 'meet', 'please', 'love', 'someone', 'else', 'please', 'somebody', 'waiting', 'please', 'love', 'someone', 'else', 'please', 'somebody', 'waiting', 'night', 'sparkling', 'let', 'wonderstruck', 'blushing', 'way', 'home', 'spend', 'forever', 'wondering', 'knew', 'night', 'flawless', 'let', 'wonderstruck', 'dancing', 'around', 'alone', 'spend', 'forever', 'wondering', 'knew', 'enchanted', 'meet', 'please', 'love', 'someone', 'else', 'please', 'somebody', 'waiting']"
463807349,Old Town Road (Remix),Lil Nas X Feat. Billy Ray Cyrus,"Oh, oh-oh Oh  Yeah, I'm gon' take my horse to the old town road I'm gonna ride 'til I can't no more I'm gon' take my horse to the old town road I'm gon' ride 'til I can't no more  I got the horses in the back Horse tack is attached Hat is matte black Got the boots that's black to match Ridin' on a horse, ha You can whip your Porsche I been in the valley You ain't been up off that porch now  Can't nobody tell me nothin' You can't tell me nothin' Can't nobody tell me nothin' You can't tell me nothin'  Ridin' on a tractor Lean all in my bladder Cheated on my baby You can go and ask her My life is a movie Bull ridin' and boobies Cowboy hat from Gucci Wrangler on my booty  Can't nobody tell me nothin' You can't tell me nothin' Can't nobody tell me nothin' You can't tell me nothin'  Yeah, I'm gonna take my horse to the old town road I'm gonna ride 'til I can't no more I'm gonna take my horse to the old town road I'm gonna ride 'til I can't no more  Hat down, cross town, livin' like a rockstar Spent a lot of money on my brand new guitar Baby's got a habit, diamond rings and Fendi sports bras Ridin' down Rodeo in my Maserati sports car  Got no stress, I've been through all that I'm like a Marlboro man so I kick on back Wish I could roll on back to that old town road I wanna ride 'til I can't no more  Yeah, I'm gonna take my horse to the old town road I'm gonna ride 'til I can't no more I'm gonna take my horse to the old town road I'm gonna ride 'til I can't no more","['yeah', 'take', 'horse', 'old', 'town', 'road', 'ride', 'til', 'take', 'horse', 'old', 'town', 'road', 'ride', 'til', 'horse', 'back', 'horse', 'tack', 'attached', 'hat', 'matte', 'black', 'boot', 'thats', 'black', 'match', 'ridin', 'horse', 'ha', 'whip', 'porsche', 'valley', 'porch', 'nobody', 'nothin', 'nothin', 'nobody', 'nothin', 'nothin', 'ridin', 'tractor', 'lean', 'bladder', 'cheated', 'baby', 'ask', 'life', 'movie', 'bull', 'ridin', 'booby', 'cowboy', 'hat', 'gucci', 'wrangler', 'booty', 'nobody', 'nothin', 'nothin', 'nobody', 'nothin', 'nothin', 'yeah', 'take', 'horse', 'old', 'town', 'road', 'ride', 'til', 'take', 'horse', 'old', 'town', 'road', 'ride', 'til', 'hat', 'cross', 'town', 'livin', 'like', 'rockstar', 'spent', 'lot', 'money', 'brand', 'new', 'guitar', 'babys', 'habit', 'diamond', 'ring', 'fendi', 'sport', 'bra', 'ridin', 'rodeo', 'maserati', 'sport', 'car', 'stress', 'like', 'marlboro', 'man', 'kick', 'back', 'wish', 'could', 'roll', 'back', 'old', 'town', 'road', 'ride', 'til', 'yeah', 'take', 'horse', 'old', 'town', 'road', 'ride', 'til', 'take', 'horse', 'old', 'town', 'road', 'ride', 'til']"
559530353,Thinking 'Bout You,Dustin Lynch Feat. MacKenzie Porter,"Well, look who it is Last call I thought I'd get How's your mama, how you been? Girl, it's been too long Saw your sister at the Circle K Heard baby number two is on the way Hadn't seen her since her wedding day With you on my arm It's good to hear from you again Girl, what a coincidence  I was just thinking 'bout that weekend out on Cumberland Lake And that one time in Baton Rouge when we made out in the rain Where we went chasing falling stars On a hill at your at daddy's farm Don't be sorry for calling me up right outta the blue I was just thinking 'bout you (Oh, oh) I was just thinking 'bout you Hmm, yeah  Hey, I just gotta say I heard your song the other day And it put a smile on my face when I started reminiscing I been on the edge of calling you And I'm so glad I decided to  I was just thinking 'bout that weekend out on Cumberland Lake And that one time in Baton Rouge when we made out in the rain Where we went chasing falling stars On a hill at your at daddy's farm Don't be sorry for calling me up right outta the blue I was just thinking 'bout you Oh, oh, I was just thinking 'bout you  If you're ever back in town Do what you're doing right now 'Cause I'm probably thinking 'bout you  I was just thinking 'bout that weekend out on Cumberland Lake And that one time in Baton Rouge when we made out in the rain Where we went chasing falling stars On a hill at your at daddy's farm Don't be sorry for calling me up right outta the blue I was just thinking 'bout you Oh, oh, I was just thinking 'bout you I was just thinking 'bout you Oh, I was just thinking 'bout you","['well', 'look', 'last', 'call', 'thought', 'hows', 'mama', 'girl', 'long', 'saw', 'sister', 'circle', 'k', 'heard', 'baby', 'number', 'two', 'way', 'hadnt', 'seen', 'since', 'wedding', 'day', 'arm', 'good', 'hear', 'girl', 'coincidence', 'thinking', 'bout', 'weekend', 'cumberland', 'lake', 'one', 'time', 'baton', 'rouge', 'made', 'rain', 'went', 'chasing', 'falling', 'star', 'hill', 'daddy', 'farm', 'sorry', 'calling', 'right', 'outta', 'blue', 'thinking', 'bout', 'thinking', 'bout', 'hmm', 'yeah', 'hey', 'ta', 'heard', 'song', 'day', 'put', 'smile', 'face', 'started', 'reminiscing', 'edge', 'calling', 'glad', 'decided', 'thinking', 'bout', 'weekend', 'cumberland', 'lake', 'one', 'time', 'baton', 'rouge', 'made', 'rain', 'went', 'chasing', 'falling', 'star', 'hill', 'daddy', 'farm', 'sorry', 'calling', 'right', 'outta', 'blue', 'thinking', 'bout', 'thinking', 'bout', 'ever', 'back', 'town', 'right', 'cause', 'probably', 'thinking', 'bout', 'thinking', 'bout', 'weekend', 'cumberland', 'lake', 'one', 'time', 'baton', 'rouge', 'made', 'rain', 'went', 'chasing', 'falling', 'star', 'hill', 'daddy', 'farm', 'sorry', 'calling', 'right', 'outta', 'blue', 'thinking', 'bout', 'thinking', 'bout', 'thinking', 'bout', 'thinking', 'bout']"
49944455,Need You Now,Lady Antebellum,"Picture perfect memories Scattered all around the floor Reaching for the phone cause I can't fight it anymore  And I wonder if I ever cross your mind For me it happens all the time  It's a quarter after one I'm all alone and I need you now Said I wouldn't call, but I lost all control And I need you now And I don't know how I can do without I just need you now  Another shot of whisky Can't stop looking at the door Wishing you'd come sweeping in the way you did before And I wonder if I ever cross your mind For me it happens all the time  It's a quarter after one I'm a little drunk and I need you now Said I wouldn't call, but I lost all control And I need you now And I don't know how I can do without  I just need you now  (Whoa-whoa)  Guess I rather hurt than feel nothing at all  It's a quarter after one I'm all alone and I need you now  And I said I wouldn't call But I'm a little drunk and I need you now  And I don't know how I can do without I just need you now I just need you now  Oh, baby, I need you now","['picture', 'perfect', 'memory', 'scattered', 'around', 'floor', 'reaching', 'phone', 'cause', 'fight', 'anymore', 'wonder', 'ever', 'cross', 'mind', 'happens', 'time', 'quarter', 'one', 'alone', 'need', 'call', 'lost', 'control', 'need', 'know', 'without', 'need', 'another', 'shot', 'whisky', 'stop', 'looking', 'door', 'wishing', 'youd', 'come', 'sweeping', 'way', 'wonder', 'ever', 'cross', 'mind', 'happens', 'time', 'quarter', 'one', 'little', 'drunk', 'need', 'call', 'lost', 'control', 'need', 'know', 'without', 'need', 'whoawhoa', 'guess', 'rather', 'hurt', 'feel', 'nothing', 'quarter', 'one', 'alone', 'need', 'call', 'little', 'drunk', 'need', 'know', 'without', 'need', 'need', 'baby', 'need']"
534468438,You Should Probably Leave,Chris Stapleton,"I know it ain't all that late But you should probably leave And I recognize that look in your eyes Yeah, you should probably leave  'Cause I know you and you know me And we both know where this is gonna lead You want me to say that I want you to stay So you should probably leave Yeah, you should probably leave  There's still time for you to finish your wine Then you should probably leave And it's hard to resist, alright, just one kiss Then you should probably leave  'Cause I know you and you know me And we both know where this is gonna lead You want me to say that I want you to stay So you should probably leave Yeah, you should probably leave  Like a devil on my shoulder you keep whisperin' in my ear And it's gettin' kinda hard for me to do the right thing here I wanna do the right thing, baby  Sun on your skin, 6 a.m. And I been watchin' you sleep And honey, I'm so afraid You're gonna wake up and say That you should probably leave  'Cause I know you and you know me And we both know where this is gonna lead I want you to stay, but you'll probably say That you should probably leave Yeah, you should probably leave Oh, you should probably leave","['know', 'late', 'probably', 'leave', 'recognize', 'look', 'eye', 'yeah', 'probably', 'leave', 'cause', 'know', 'know', 'know', 'lead', 'want', 'want', 'stay', 'probably', 'leave', 'yeah', 'probably', 'leave', 'still', 'time', 'finish', 'wine', 'probably', 'leave', 'hard', 'resist', 'alright', 'one', 'kiss', 'probably', 'leave', 'cause', 'know', 'know', 'know', 'lead', 'want', 'want', 'stay', 'probably', 'leave', 'yeah', 'probably', 'leave', 'like', 'devil', 'shoulder', 'keep', 'whisperin', 'ear', 'gettin', 'kinda', 'hard', 'right', 'thing', 'right', 'thing', 'baby', 'sun', 'skin', 'watchin', 'sleep', 'honey', 'afraid', 'wake', 'probably', 'leave', 'cause', 'know', 'know', 'know', 'lead', 'want', 'stay', 'probably', 'probably', 'leave', 'yeah', 'probably', 'leave', 'probably', 'leave']"
566885142,Buy Dirt [Acoustic],Jordan Davis Feat. Luke Bryan,"Few days before he turned 80 He was sitting out back in a rocker He said ""what you been up to lately?"" I told him chasing a dollar And in between sips of coffee He poured this wisdom out Said if you want my two cents on making a dollar count  Buy dirt Find the one you can't live without Get a ring, let your knee hit the ground Do what you love but call it work And throw a little money in the plate at church Send some prayers up and your roots down deep Add a few limbs to your family tree And watch their pencils marks, and the grass in the yard All grow up 'Cause the truth about it is it all goes by real quick And you can't buy happiness But you can buy dirt  Before you get caught on that ladder Let me tell you what it's all about Find you a few things that matter That you can put a fence around And then he laid it out  Buy dirt Find the one you can't live without Get a ring, let your knee hit the ground Do what you love but call it work And throw a little money in the plate at church Send some prayers up and your roots down deep Add a few limbs to your family tree And watch their pencils marks, and the grass in the yard All grow up 'Cause the truth about it is it all goes by real quick You can't buy happiness But you can buy dirt (You can buy dirt)  You can buy dirt And thank the good Lord for it 'Cause He ain't makin' any more of it  Buy dirt Find the one you can't live without Get a ring, let your knee hit the ground Do what you love but call it work And throw a little money in the plate at church Send some prayers up and your roots down deep Add a few limbs to your family tree And watch their pencils marks, and the grass in the yard All grow up 'Cause the truth about it is it all goes by real quick You can't buy happiness But you can buy dirt  You can buy dirt (Yes'sir) You can buy dirt (Oh yeah) You can buy dirt","['day', 'turned', 'sitting', 'back', 'rocker', 'lately', 'told', 'chasing', 'dollar', 'sip', 'coffee', 'poured', 'wisdom', 'want', 'two', 'cent', 'making', 'dollar', 'count', 'buy', 'dirt', 'find', 'one', 'live', 'without', 'ring', 'let', 'knee', 'hit', 'ground', 'love', 'call', 'work', 'throw', 'little', 'money', 'plate', 'church', 'send', 'prayer', 'root', 'deep', 'add', 'limb', 'family', 'tree', 'watch', 'pencil', 'mark', 'grass', 'yard', 'grow', 'cause', 'truth', 'real', 'quick', 'buy', 'happiness', 'buy', 'dirt', 'caught', 'ladder', 'let', 'find', 'thing', 'matter', 'put', 'fence', 'around', 'laid', 'buy', 'dirt', 'find', 'one', 'live', 'without', 'ring', 'let', 'knee', 'hit', 'ground', 'love', 'call', 'work', 'throw', 'little', 'money', 'plate', 'church', 'send', 'prayer', 'root', 'deep', 'add', 'limb', 'family', 'tree', 'watch', 'pencil', 'mark', 'grass', 'yard', 'grow', 'cause', 'truth', 'real', 'quick', 'buy', 'happiness', 'buy', 'dirt', 'buy', 'dirt', 'buy', 'dirt', 'thank', 'good', 'lord', 'cause', 'makin', 'buy', 'dirt', 'find', 'one', 'live', 'without', 'ring', 'let', 'knee', 'hit', 'ground', 'love', 'call', 'work', 'throw', 'little', 'money', 'plate', 'church', 'send', 'prayer', 'root', 'deep', 'add', 'limb', 'family', 'tree', 'watch', 'pencil', 'mark', 'grass', 'yard', 'grow', 'cause', 'truth', 'real', 'quick', 'buy', 'happiness', 'buy', 'dirt', 'buy', 'dirt', 'yessir', 'buy', 'dirt', 'yeah', 'buy', 'dirt']"
545409566,Sand In My Boots,Morgan Wallen,"She asked me where I was from I said, ""Somewhere you never been to"" Little town outside of Knoxville Headin' by some dogwood trees She tried talkin' with my accent We held hands and waded into That blue water She left her flip-flops by my Red Wings on the beach  Yeah but, now I'm dodging potholes In my sunburnt Silverado Like a heart-broke Desperado Headin' right back to my roots Somethin' 'bout the way she kissed me Tells me she loves Eastern Tennessee Yeah, but all I brought back with me Was some sand in my boots  I said, ""Let's go shoot tequila"" So we walked back to that beach bar She said, ""Don't cowboys drink whiskey?"" So we drank bottom shelf She said, ""Damn, that sky looks perfect"" I said, ""Girl, you've never seen stars like the ones back home"" And she said, ""Maybe I should see them for myself""  Yeah, but now I'm dodgin' potholes In my sunburnt Silverado Like a heart-broke Desperado Headin' right back to my roots Somethin' 'bout the way she kissed me Tells me she loves Eastern Tennessee Yeah, but all I brought back with me Was some sand in my boots  I said, ""Meet me in the morning"" And she told me I was crazy Yeah, but I still thought that maybe she'd show up  Oh, but now I'm dodgin' potholes In my sunburnt Silverado Like a heart-broke Desperado Headin' right back to my roots Somethin' 'bout the way she kissed me Tells me she loves Eastern Tennessee Yeah, but all I brought back with me Was some sand in my boots  Yeah, but all I brought back with me Was some sand in my boots","['asked', 'somewhere', 'never', 'little', 'town', 'outside', 'knoxville', 'headin', 'dogwood', 'tree', 'tried', 'talkin', 'accent', 'held', 'hand', 'waded', 'blue', 'water', 'left', 'flipflops', 'red', 'wings', 'beach', 'yeah', 'dodging', 'pothole', 'sunburnt', 'silverado', 'like', 'heartbroke', 'desperado', 'headin', 'right', 'back', 'root', 'somethin', 'bout', 'way', 'kissed', 'tells', 'love', 'eastern', 'tennessee', 'yeah', 'brought', 'back', 'sand', 'boot', 'lets', 'shoot', 'tequila', 'walked', 'back', 'beach', 'bar', 'cowboy', 'drink', 'whiskey', 'drank', 'bottom', 'shelf', 'damn', 'sky', 'look', 'perfect', 'girl', 'never', 'seen', 'star', 'like', 'one', 'back', 'home', 'maybe', 'yeah', 'dodgin', 'pothole', 'sunburnt', 'silverado', 'like', 'heartbroke', 'desperado', 'headin', 'right', 'back', 'root', 'somethin', 'bout', 'way', 'kissed', 'tells', 'love', 'eastern', 'tennessee', 'yeah', 'brought', 'back', 'sand', 'boot', 'meet', 'morning', 'told', 'crazy', 'yeah', 'still', 'thought', 'maybe', 'shed', 'show', 'dodgin', 'pothole', 'sunburnt', 'silverado', 'like', 'heartbroke', 'desperado', 'headin', 'right', 'back', 'root', 'somethin', 'bout', 'way', 'kissed', 'tells', 'love', 'eastern', 'tennessee', 'yeah', 'brought', 'back', 'sand', 'boot', 'yeah', 'brought', 'back', 'sand', 'boot']"
536859303,Whiskey And Rain,Michael Ray,"It's been a downpour, beating on the tin roof It's been Black Label pouring on ice Made a honky-tonk outta this living room Yeah, swimming through her goodbye Misery loves company  Yeah, whiskey and rain coming down, coming down Splash of bourbon in a glass Yeah, pouring something on the pain, let it drown, let it drown Try to wash away the past, oh-whoa Since my blue sky sunshine, whole life hopped On that midnight train 'Til the bottle runs out or the clouds roll away It's just whiskey and rain  It's been nothing but a hangover, tryna get over you But Lord willing and the creek don't rise I'm gonna wake up in the morning, feeling brand new Without a single cloud in the sky, oh-oh But tonight, it ain't the weather breaking  Yeah, whiskey and rain coming down, coming down Splash of bourbon in a glass Yeah, pouring something on the pain, let it drown, let it drown Try to wash away the past, oh-whoa Since my blue sky sunshine, whole life hopped On that midnight train 'Til the bottle runs out or the clouds roll away It's just whiskey and rain  Misery loves company  Yeah, whiskey and rain coming down, coming down Splash of bourbon in a glass Yeah, pouring something on the pain, let it drown, let it drown Try to wash away the past, oh-whoa Since my blue sky sunshine, whole life hopped On that midnight train 'Til the bottle runs out or the clouds roll away It's just whiskey and rain 'Til the bottle runs out or the clouds roll away It's just whiskey and rain  Whiskey and rain coming down, coming down Splash of bourbon in a glass","['downpour', 'beating', 'tin', 'roof', 'black', 'label', 'pouring', 'ice', 'made', 'honkytonk', 'outta', 'living', 'room', 'yeah', 'swimming', 'goodbye', 'misery', 'love', 'company', 'yeah', 'whiskey', 'rain', 'coming', 'coming', 'splash', 'bourbon', 'glass', 'yeah', 'pouring', 'something', 'pain', 'let', 'drown', 'let', 'drown', 'try', 'wash', 'away', 'past', 'ohwhoa', 'since', 'blue', 'sky', 'sunshine', 'whole', 'life', 'hopped', 'midnight', 'train', 'til', 'bottle', 'run', 'cloud', 'roll', 'away', 'whiskey', 'rain', 'nothing', 'hangover', 'tryna', 'lord', 'willing', 'creek', 'rise', 'wake', 'morning', 'feeling', 'brand', 'new', 'without', 'single', 'cloud', 'sky', 'tonight', 'weather', 'breaking', 'yeah', 'whiskey', 'rain', 'coming', 'coming', 'splash', 'bourbon', 'glass', 'yeah', 'pouring', 'something', 'pain', 'let', 'drown', 'let', 'drown', 'try', 'wash', 'away', 'past', 'ohwhoa', 'since', 'blue', 'sky', 'sunshine', 'whole', 'life', 'hopped', 'midnight', 'train', 'til', 'bottle', 'run', 'cloud', 'roll', 'away', 'whiskey', 'rain', 'misery', 'love', 'company', 'yeah', 'whiskey', 'rain', 'coming', 'coming', 'splash', 'bourbon', 'glass', 'yeah', 'pouring', 'something', 'pain', 'let', 'drown', 'let', 'drown', 'try', 'wash', 'away', 'past', 'ohwhoa', 'since', 'blue', 'sky', 'sunshine', 'whole', 'life', 'hopped', 'midnight', 'train', 'til', 'bottle', 'run', 'cloud', 'roll', 'away', 'whiskey', 'rain', 'til', 'bottle', 'run', 'cloud', 'roll', 'away', 'whiskey', 'rain', 'whiskey', 'rain', 'coming', 'coming', 'splash', 'bourbon', 'glass']"
